version,queue,message_size,run_name,case_id,case_label,omp_threads,async_progress,wait_mode,cutoff,num_cycles,bench_comm,test_comm,mid_comm,post_send,wait_recv,path
midcomm,cm4_inter,big,run_1_big_mes_inter,00,async0_c1_waitall,1,0,wait_all,250,5,1.480741084,1.329422055,0.092884833,0.005974809,0.011043607,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_00_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,01,async0_c4_waitall,4,0,wait_all,250,5,0.632334196,0.703710989,0.03810413,0.005781331,0.01001876,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_01_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,02,async0_c1_testall,1,0,test_all,250,5,1.500982996,1.329117112,0.092997454,0.00698319,0.013459122,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_02_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,03,async0_c4_testall,4,0,test_all,250,5,0.616922498,0.704220687,0.038111367,0.004993968,0.009669403,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_03_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,04,async1_c1_waitall,1,1,wait_all,250,5,3.005154296,2.715456045,0.187512576,0.016672395,0.021322331,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_04_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,05,async1_c4_waitall,3,1,wait_all,250,5,0.809917446,0.952519117,0.051655132,0.008340202,0.008853914,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_05_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,06,async1_c1_testall,1,1,test_all,250,5,2.977395629,2.827004897,0.185478165,0.013776676,0.019257001,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_06_summary.csv
midcomm,cm4_inter,big,run_1_big_mes_inter,07,async1_c4_testall,3,1,test_all,250,5,0.811273407,0.95018566,0.051586096,0.008366743,0.009064349,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_1_big_mes_inter/Comb_07_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,00,async0_c1_waitall,1,0,wait_all,500000,5,1.480530474,1.3289453,0.092927615,0.005984914,0.011040277,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_00_summary.csv
midcomm,cm4_inter,big,run_2_samll_mess_inter,01,async0_c4_waitall,4,0,wait_all,500000,5,0.614032739,0.703684734,0.038262917,0.004929598,0.008730901,/dss/dsshome1/08/ge63neh2/1_comb_run/comb_intelmpi/comb_midcomm_omp/cm4_inter/run_2_samll_mess_inter/Comb_01_summary.csv
