queue,run_name,case_id,case_label,section,bench_with_compute_s,bench_no_midcomm_s,compute_s,fixed_mock_window_no_s,fixed_mock_window_with_s,comm_window_s,measured_window_s,ideal_s,serial_s,overhead_ratio,overlap_ratio
cm4_inter,run_1_big_mes_inter,00,async0_c1_waitall,mock seq,2.027075,1.475157,0.540726,0.000000,0.000000,0.212972,0.753497,0.540726,0.753698,0.999055,0.000945
cm4_inter,run_1_big_mes_inter,00,async0_c1_waitall,mock omp,2.023311,1.514413,0.539295,0.000000,0.000000,0.215754,0.754227,0.539295,0.755048,0.996193,0.003807
cm4_inter,run_1_big_mes_inter,00,async0_c1_waitall,mpi  seq,2.214606,1.605092,0.564079,0.212972,0.212771,0.144969,0.707108,0.564079,0.709048,0.986614,0.013386
cm4_inter,run_1_big_mes_inter,00,async0_c1_waitall,mpi  omp,2.170749,1.727091,0.538762,0.215754,0.214932,0.192438,0.679587,0.538762,0.731200,0.731794,0.268206
cm4_inter,run_1_big_mes_inter,01,async0_c4_waitall,mock seq,2.054572,1.679805,0.542290,0.000000,0.000000,0.229723,0.758579,0.542290,0.772013,0.941518,0.058482
cm4_inter,run_1_big_mes_inter,01,async0_c4_waitall,mock omp,0.916561,0.828485,0.212555,0.000000,0.000000,0.154713,0.342640,0.212555,0.367269,0.840811,0.159189
cm4_inter,run_1_big_mes_inter,01,async0_c4_waitall,mpi  seq,2.221922,1.815903,0.565502,0.229723,0.216289,0.246335,0.706063,0.565502,0.811837,0.570609,0.429391
cm4_inter,run_1_big_mes_inter,01,async0_c4_waitall,mpi  omp,1.240257,0.969668,0.226795,0.154713,0.130085,0.199552,0.407084,0.226795,0.426347,0.903467,0.096533
cm4_inter,run_1_big_mes_inter,02,async0_c1_testall,mock seq,2.313208,1.645250,0.575647,0.000000,0.000000,0.225038,0.808821,0.575647,0.800685,1.036153,-0.036153
cm4_inter,run_1_big_mes_inter,02,async0_c1_testall,mock omp,2.209387,1.702587,0.560147,0.000000,0.000000,0.231009,0.787432,0.560147,0.791156,0.983881,0.016119
cm4_inter,run_1_big_mes_inter,02,async0_c1_testall,mpi  seq,2.395923,1.841786,0.588549,0.225038,0.233173,0.261672,0.726755,0.588549,0.850221,0.528164,0.471836
cm4_inter,run_1_big_mes_inter,02,async0_c1_testall,mpi  omp,2.151447,1.764042,0.537846,0.231009,0.227285,0.203891,0.661451,0.537846,0.741736,0.606231,0.393769
